# Column definitions:   
# trait : GWAS phenotype
# CredibleSet : credible set ID for trait
# CredibleSet.AnyCodingVariant : TRUE if credible set contains a variant overlapping a coding sequence
# CredibleSet.AnySpliceSiteVariant : TRUE if credible set contains a variant within 10bp of a splice site of a coding gene
# CredibleSet.NoncodingWithSigVariant : TRUE if credible set does not contain a coding or splice site variant, and if it contains at least one variant with variant score above the specified threshold
# CredibleSet.AnyPrediction : TRUE if credible set has a prediction for this method
# CredibleSet.nNearbyGenes : Number of genes within distance threshold
# TargetGene : Gene Symbol
# TargetGene.chr : chromosome
# TargetGene.TSS : coordinate of gene transcription start site
# DistanceToTSS : Distance from best variant to the transcription start site
# DistanceToTSSRank : Rank among genes of the distance from best variant to the transcription start site
# Distance : Distance from best variant to the gene body
# DistanceRank : Rank among genes of the distance from best variant to the gene body
# GeneScore.* : Max score for this gene across cell types and variants
# CellTypes.* : Cell types in which the prediction is made
# Variants.* : Variants with variant scores above threshold responsible for the prediction
# GeneRank.* : Rank of the prediction score for this gene among other genes in the credible set
# GenePrediction.* : TRUE if gene is the gene with the max by this predictor for the credible set
# GenePredictionMax.* : TRUE if gene has the maximum score for this credible set
trait	CredibleSet	CredibleSet.AnyCodingVariant	CredibleSet.AnySpliceSiteVariant	CredibleSet.NoncodingWithSigVariant	CredibleSet.AnyPrediction	CredibleSet.nNearbyGenes	TargetGene	TargetGene.chr	TargetGene.TSS	DistanceToTSS	DistanceToTSSRank	Distance	DistanceRank	GeneScore.ABC	CellTypes.ABC	Variants.ABC	GeneRank.ABC	GenePrediction.ABC	GenePredictionMax.ABC
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WFDC2	chr20	44098393	840314	33	840313	33	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SPINT3	chr20	44144264	886185	34	883020	34	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WFDC6	chr20	44168134	910055	36	904755	36	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	EPPIN-WFDC6	chr20	44176065	917986	37	906838	37	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	EPPIN	chr20	44176065	917986	37	911184	38	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WFDC8	chr20	44207965	949886	39	922320	40	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	ZNF618	chr9	116638561	932733	15	752419	15	NA	NA	NA	15	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	AMBP	chr9	116840752	730542	14	730542	14	NA	NA	NA	5	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	KIF12	chr9	116861337	709957	13	709957	13	NA	NA	NA	9	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	COL27A1	chr9	116917824	653470	12	496498	12	NA	NA	NA	7	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	ORM1	chr9	117085302	485992	11	482535	11	NA	NA	NA	10	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	ORM2	chr9	117092068	479226	10	475758	10	NA	NA	NA	11	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	AKNA	chr9	117156685	414609	9	414609	9	NA	NA	NA	4	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	WHRN	chr9	117267736	303558	6	303558	7	NA	NA	NA	14	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	ATP6V1G1	chr9	117349993	221301	5	210142	5	NA	NA	NA	6	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	TMEM268	chr9	117373705	197589	4	162590	4	NA	NA	NA	12	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	LOC100505478	chr9	117444369	126925	3	126925	3	0.020643	Karpas-422-ENCODE	chr9:117571293,chr9:117571294,rs59418409	3	TRUE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	TNFSF15	chr9	117568408	2886	1	2886	1	0.119717	Karpas-422-ENCODE	chr9:117571293,chr9:117571294,rs59418409	1	TRUE	TRUE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	TNFSF8	chr9	117692875	121581	2	92129	2	0.022155	Karpas-422-ENCODE	chr9:117571293,chr9:117571294,rs59418409	2	TRUE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	TNC	chr9	117880536	309242	7	210558	6	NA	NA	NA	13	FALSE	FALSE
IBD	Huang2017-r104-1	FALSE	FALSE	TRUE	NA	15	DEC1	chr9	117904096	332802	8	332801	8	NA	NA	NA	8	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	GALC	chr14	88459615	5272	1	5272	1	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	GPR65	chr14	88471467	6580	2	6579	2	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	KCNK10	chr14	88793256	328369	3	181563	3	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	SPATA7	chr14	88851987	387100	4	387099	4	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	PTPN21	chr14	89021123	556236	5	467233	5	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	ZC3H14	chr14	89029252	564365	6	564364	6	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	EML5	chr14	89259096	794209	7	616285	7	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r142-1	TRUE	FALSE	FALSE	NA	8	TTC8	chr14	89290496	825609	8	825608	8	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	HPSE2	chr10	100995632	287698	9	287698	9	NA	NA	NA	15	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	CNNM1	chr10	101088855	194475	5	129243	4	NA	NA	NA	8	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	GOT1	chr10	101190530	92800	2	92800	3	0.037415	spleen-ENCODE	rs10748781	2	TRUE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	NKX2-3	chr10	101292689	9359	1	9358	1	0.087573	CD34-positive_mobilized-Roadmap,H9-Roadmap,spleen-ENCODE	rs10748781	1	TRUE	TRUE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	SLC25A28	chr10	101380221	96891	3	86943	2	0.019835	spleen-ENCODE	rs10748781	4	TRUE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	ENTPD7	chr10	101419262	135932	4	135931	5	0.021042	spleen-ENCODE	rs10748781	3	TRUE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	CUTC	chr10	101491957	208627	6	208626	7	NA	NA	NA	11	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	COX15	chr10	101492423	209093	7	187293	6	NA	NA	NA	9	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	ABCC2	chr10	101542354	259024	8	259023	8	NA	NA	NA	5	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	DNMBP	chr10	101673849	390519	10	351996	10	NA	NA	NA	13	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	CPN1	chr10	101841642	558312	11	518733	11	NA	NA	NA	10	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	ERLIN1	chr10	101945814	662484	12	626515	12	NA	NA	NA	14	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	CHUK	chr10	101989367	706037	13	664723	13	NA	NA	NA	7	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	CWF19L1	chr10	102027438	744108	14	708721	14	NA	NA	NA	12	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	BLOC1S2	chr10	102046469	763139	15	749703	15	NA	NA	NA	6	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	PKD2L1	chr10	102090243	806913	16	764571	16	NA	NA	NA	16	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	SCD	chr10	102106771	823441	17	823440	17	NA	NA	NA	17	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	WNT8B	chr10	102222811	939481	18	939480	18	NA	NA	NA	19	FALSE	FALSE
IBD	Huang2017-r116-1	FALSE	FALSE	TRUE	NA	19	SEC31B	chr10	102279595	996265	19	963071	19	NA	NA	NA	18	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	C10orf107	chr10	63422718	931544	9	828171	8	NA	NA	NA	4	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	ARID5B	chr10	63661012	693250	7	497555	5	NA	NA	NA	3	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	RTKN2	chr10	64028622	325640	4	325640	4	NA	NA	NA	8	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	ZNF365	chr10	64133915	220347	2	0	1	NA	NA	NA	9	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	ADO	chr10	64564515	210253	1	210252	2	NA	NA	NA	2	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	EGR2	chr10	64576140	221878	3	217492	3	0.017648	OCI-LY7-ENCODE	rs10822035	1	TRUE	TRUE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	NRBF2	chr10	64893006	538744	5	538743	6	NA	NA	NA	6	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	JMJD1C	chr10	65028983	674721	6	572717	7	NA	NA	NA	5	FALSE	FALSE
IBD	Huang2017-r113-2	FALSE	FALSE	TRUE	NA	9	REEP3	chr10	65281122	926860	8	926859	9	NA	NA	NA	7	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	WSB1	chr17	25621046	247987	3	228386	4	0.036798	body_of_pancreas-ENCODE,CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016,pancreas-Roadmap	rs8075695	3	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	KSR1	chr17	25799035	69998	1	0	1	0.086306	breast_epithelium-ENCODE,CD14-positive_monocyte_treated_with_LPS_1h-Novakovic2016,CD14-positive_monocyte_treated_with_LPS_4h-Novakovic2016,CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016,CD14-positive_monocyte_treated_with_LPS_d6-Novakovic2016,CD14-positive_monocyte_treated_with_RPMI_1h-Novakovic2016,CD14-positive_monocyte_treated_with_RPMI_4h-Novakovic2016,CD14-positive_monocyte_treated_with_RPMI_d1-Novakovic2016,CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016,CD14-positive_monocyte-Novakovic2016,CD14-positive_monocytes-Roadmap,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_4_hour-Garber2017,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,pancreas-Roadmap,THP_pmaLPS_ATAC_120h,THP_pmaLPS_ATAC_6h,THP_pmaLPS_ATAC_96h,U937_LPS_4hr-Engreitz	rs2948542,rs8075695	1	TRUE	TRUE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	LGALS9	chr17	25958173	89140	2	89139	2	0.050747	body_of_pancreas-ENCODE,CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_30_minute-Garber2017,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,pancreas-Roadmap	rs8075695	2	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	NOS2	chr17	26127555	258522	4	214757	3	NA	NA	NA	18	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	LYRM9	chr17	26220409	351376	5	336305	5	0.026276	body_of_pancreas-ENCODE,CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016,pancreas-Roadmap	rs8075695	4	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	NLK	chr17	26369687	500654	6	500653	6	0.019484	pancreas-Roadmap	rs8075695	6	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	TMEM97	chr17	26646120	777087	7	777086	7	0.016552	pancreas-Roadmap	rs8075695	15	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	IFT20	chr17	26662515	793482	8	786316	8	NA	NA	NA	17	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	TNFAIP1	chr17	26662547	793514	9	793513	9	NA	NA	NA	22	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	TMEM199	chr17	26684603	815570	10	815569	11	0.017217	pancreas-Roadmap	rs8075695	13	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	POLDIP2	chr17	26684612	815579	11	804619	10	0.017217	pancreas-Roadmap	rs8075695	13	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SEBOX	chr17	26692173	823140	12	822255	12	NA	NA	NA	19	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	VTN	chr17	26697373	828340	13	825264	13	0.018263	pancreas-Roadmap	rs8075695	10	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SARM1	chr17	26698682	829649	14	829648	14	0.018263	pancreas-Roadmap	rs8075695	10	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SLC46A1	chr17	26733230	864197	15	852626	15	0.02148	pancreas-Roadmap	rs8075695	5	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SLC13A2	chr17	26800663	931630	16	931629	16	NA	NA	NA	21	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	FOXN1	chr17	26850958	981925	17	981924	17	NA	NA	NA	16	FALSE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	UNC119	chr17	26879646	1010613	18	1004690	18	0.018301	pancreas-Roadmap	rs8075695	9	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	PIGS	chr17	26898887	1029854	19	1011371	19	0.01945	pancreas-Roadmap	rs8075695	7	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	ALDOC	chr17	26903951	1034918	20	1031098	20	0.018676	pancreas-Roadmap	rs8075695	8	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SPAG5	chr17	26926056	1057023	21	1035548	21	0.017578	pancreas-Roadmap	rs8075695	12	TRUE	FALSE
IBD	Huang2017-r157-1	FALSE	FALSE	TRUE	NA	22	SGK494	chr17	26941211	1072178	22	1065947	22	NA	NA	NA	20	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	ARID5B	chr10	63661012	777474	7	581779	7	NA	NA	NA	3	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	RTKN2	chr10	64028622	409864	4	409864	4	NA	NA	NA	7	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	ZNF365	chr10	64133915	304571	3	6715	1	NA	NA	NA	8	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	ADO	chr10	64564515	126029	1	126028	2	0.021458	CD3-positive_T_cell-Roadmap,CD56-positive_natural_killer_cells-Roadmap,CD8-positive_alpha-beta_T_cell-ENCODE,GM12878-Roadmap	rs12766391	1	TRUE	TRUE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	EGR2	chr10	64576140	137654	2	133268	3	0.015975	GM12878-Roadmap	rs12766391	2	TRUE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	NRBF2	chr10	64893006	454520	5	454519	5	NA	NA	NA	5	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	JMJD1C	chr10	65028983	590497	6	488493	6	NA	NA	NA	4	FALSE	FALSE
IBD	Huang2017-r113-1	FALSE	FALSE	TRUE	NA	8	REEP3	chr10	65281122	842636	8	842635	8	NA	NA	NA	6	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	SPN	chr16	29674270	808224	74	800671	74	NA	NA	NA	56	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	QPRT	chr16	29690328	792166	73	772473	72	NA	NA	NA	51	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	C16orf54	chr16	29757340	725154	68	725154	68	NA	NA	NA	11	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	ZG16	chr16	29789560	692934	66	689525	66	NA	NA	NA	69	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	KIF22	chr16	29802033	680461	65	665788	64	NA	NA	NA	33	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	MAZ	chr16	29817857	664637	63	659990	62	NA	NA	NA	36	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	PRRT2	chr16	29823408	659086	61	655292	61	NA	NA	NA	45	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	PAGR1	chr16	29827527	654967	60	648678	60	NA	NA	NA	41	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	MVP	chr16	29831714	650780	59	623134	57	NA	NA	NA	37	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	CDIPT	chr16	29874609	607885	54	607885	54	NA	NA	NA	15	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	SEZ6L2	chr16	29910585	571909	51	571909	51	NA	NA	NA	55	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	ASPHD1	chr16	29912146	570348	50	565117	50	NA	NA	NA	7	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	KCTD13	chr16	29937553	544941	48	544941	48	NA	NA	NA	32	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	TMEM219	chr16	29973350	509144	45	498121	45	NA	NA	NA	64	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	TAOK2	chr16	29985187	497307	44	482768	43	NA	NA	NA	60	FALSE	FALSE
IBD	Huang2017-r151-1	FALSE	FALSE	TRUE	NA	80	HIRIP3	chr16	30007417	475077	41	475077	41	NA	NA	NA	25	FALSE	FALSE
